Amazon Link, Title, Author
http://www.amazon.com/exec/obidos/ASIN/0596529309/ref=nosim/deliciousmons-20, High Performance Web Sites: Essential Knowledge for Front-End Engineers, Steve Souders  
http://www.amazon.com/exec/obidos/ASIN/0130161640/ref=nosim/deliciousmons-20, High-Performance Java Platform Computing: Multithreaded and Networked Programming, Thomas W. Christopher  George K.  Ph.D. Thiruvathukal  
http://www.amazon.com/exec/obidos/ASIN/0262062186/ref=nosim/deliciousmons-20, How to Design Programs: An Introduction to Programming and Computing, Matthias Felleisen  Robert Bruce Findler  Matthew Flatt  Shriram Krishnamurthi  
http://www.amazon.com/exec/obidos/ASIN/0134340019/ref=nosim/deliciousmons-20, How to Solve It by Computer, R. G. Dromey  
http://www.amazon.com/exec/obidos/ASIN/3540660615/ref=nosim/deliciousmons-20, How to Solve It: Modern Heuristics, Zbigniew Michalewicz  David B. Fogel  
http://www.amazon.com/exec/obidos/ASIN/0805072551/ref=nosim/deliciousmons-20, How to Think About Statistics  6th Edition, John L. Phillips  
http://www.amazon.com/exec/obidos/ASIN/0321437381/ref=nosim/deliciousmons-20, Implementing Lean Software Development: From Concept to Cash, Mary Poppendieck  Tom Poppendieck  
http://www.amazon.com/exec/obidos/ASIN/0262192942/ref=nosim/deliciousmons-20, Innovative Applications of Artificial Intelligence, Herbert Schorr  Alain Rappaport  
http://www.amazon.com/exec/obidos/ASIN/0262680688/ref=nosim/deliciousmons-20, Innovative Applications of Artificial Intelligence 2, Alain Rappaport  Reid Smith  
http://www.amazon.com/exec/obidos/ASIN/0262691485/ref=nosim/deliciousmons-20, Innovative Applications of Artificial Intelligence 3, Reid Smith  A. Carlisle Scott  
http://www.amazon.com/exec/obidos/ASIN/0262691558/ref=nosim/deliciousmons-20, Innovative Applications of Artificial Intelligence 4, A. Carlisle Scott  Philip Klahr  
http://www.amazon.com/exec/obidos/ASIN/1558604200/ref=nosim/deliciousmons-20, Intelligent Java Applications for the Internet and Intranets, Mark Watson  
http://www.amazon.co.uk/exec/obidos/ASIN/8120324587/ref=nosim/deliciousmons-21, Introduction To Ai Robotics, MURPHY ROBIN R.  
http://www.amazon.com/exec/obidos/ASIN/0072970545/ref=nosim/deliciousmons-20, Introduction to Algorithms, Thomas Cormen  Charles Leiserson  Ronald Rivest  Clifford Stein  
http://www.amazon.com/exec/obidos/ASIN/0127748601/ref=nosim/deliciousmons-20, Introduction to Common Lisp, Taichi Yuasa et  
http://www.amazon.com/exec/obidos/ASIN/0471137723/ref=nosim/deliciousmons-20, Introduction to Computer Theory, Daniel I. A. Cohen  
http://www.amazon.com/exec/obidos/ASIN/0521794838/ref=nosim/deliciousmons-20, Introduction to Distributed Algorithms, Tel Gerard  
http://www.amazon.com/exec/obidos/ASIN/0521277248/ref=nosim/deliciousmons-20, Introduction to Functional Programming Systems Using Haskell, Antony J. T. Davie  
http://www.amazon.com/exec/obidos/ASIN/0521865719/ref=nosim/deliciousmons-20, Introduction to Information Retrieval, Manning Christopher D.  Raghavan Prabhakar  Schütze Hinrich  
http://www.amazon.com/exec/obidos/ASIN/0134861922/ref=nosim/deliciousmons-20, An Introduction to Lisp and Symbol Manipulation, Sharam Hekmatpour  
